"","bet","odds","datetime","url","bet.subject","time.of.day","numerator.bet","denominator.bet","probability","date","country"
"24","Leave","9/4","2016-02-25T17:10:00Z","https://web.archive.org/web/20160225171000/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,9,4,0.307692307692308,2016-02-25,"United Kingdom"
"25",NA,NA,"2016-02-28T18:02:43Z",NA,"referendum-on-eu-membership-result, eu-referendum",NA,NA,NA,NA,2016-02-28,"United Kingdom"
"26","Remain","4/11","2016-03-02T09:54:08Z","https://web.archive.org/web/20160302095408/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,11,0.733333333333333,2016-03-02,"United Kingdom"
"27","Leave","9/4","2016-03-02T09:54:08Z","https://web.archive.org/web/20160302095408/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,9,4,0.307692307692308,2016-03-02,"United Kingdom"
"28","Remain","4/11","2016-03-02T21:42:50Z","https://web.archive.org/web/20160302214250/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,11,0.733333333333333,2016-03-02,"United Kingdom"
"29","Leave","9/4","2016-03-02T21:42:50Z","https://web.archive.org/web/20160302214250/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,9,4,0.307692307692308,2016-03-02,"United Kingdom"
"30","Remain","4/11","2016-03-02T23:18:39Z","https://web.archive.org/web/20160302231839/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,11,0.733333333333333,2016-03-02,"United Kingdom"
"31","Leave","9/4","2016-03-02T23:18:39Z","https://web.archive.org/web/20160302231839/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,9,4,0.307692307692308,2016-03-02,"United Kingdom"
"32","Remain","4/11","2016-03-03T03:23:39Z","https://web.archive.org/web/20160303032339/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,11,0.733333333333333,2016-03-03,"United Kingdom"
"33","Leave","9/4","2016-03-03T03:23:39Z","https://web.archive.org/web/20160303032339/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,9,4,0.307692307692308,2016-03-03,"United Kingdom"
"34","Remain","4/11","2016-03-05T03:43:30Z","https://web.archive.org/web/20160305034330/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,11,0.733333333333333,2016-03-05,"United Kingdom"
