"","bet","odds","datetime","url","bet.subject","time.of.day","numerator.bet","denominator.bet","probability","date","country"
"1011","No","2/7","2019-05-06T02:25:10Z","https://web.archive.org/web/20190506022510/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-06,"United Kingdom"
"1012","Yes","15/4","2019-05-07T01:43:14Z","http://wayback.archive-it.org/all/20190507014314/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,15,4,0.210526315789474,2019-05-07,"United Kingdom"
"1013","No","2/7","2019-05-07T01:43:14Z","http://wayback.archive-it.org/all/20190507014314/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-07,"United Kingdom"
"1014","Yes","15/4","2019-05-07T01:43:14Z","https://web.archive.org/web/20190507014314/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,15,4,0.210526315789474,2019-05-07,"United Kingdom"
"1015","No","2/7","2019-05-07T01:43:14Z","https://web.archive.org/web/20190507014314/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-07,"United Kingdom"
"1016","Yes","15/4","2019-05-07T19:03:52Z","http://wayback.archive-it.org/all/20190507190352/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,15,4,0.210526315789474,2019-05-07,"United Kingdom"
"1017","No","1/3","2019-05-07T19:03:52Z","http://wayback.archive-it.org/all/20190507190352/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-07,"United Kingdom"
"1018","Yes","15/4","2019-05-07T19:03:52Z","https://web.archive.org/web/20190507190352/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,15,4,0.210526315789474,2019-05-07,"United Kingdom"
"1019","No","1/3","2019-05-07T19:03:52Z","https://web.archive.org/web/20190507190352/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-07,"United Kingdom"
"1020","Yes","15/4","2019-05-08T18:45:42Z","http://wayback.archive-it.org/all/20190508184542/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,15,4,0.210526315789474,2019-05-08,"United Kingdom"
"1021","No","1/3","2019-05-08T18:45:42Z","http://wayback.archive-it.org/all/20190508184542/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-08,"United Kingdom"
"1022","Yes","15/4","2019-05-08T18:45:42Z","https://web.archive.org/web/20190508184542/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,15,4,0.210526315789474,2019-05-08,"United Kingdom"
"1023","No","1/3","2019-05-08T18:45:42Z","https://web.archive.org/web/20190508184542/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-08,"United Kingdom"
"1024","Yes","3/1","2019-05-10T04:24:28Z","http://wayback.archive-it.org/all/20190510042428/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,3,1,0.25,2019-05-10,"United Kingdom"
"1025","No","1/3","2019-05-10T04:24:28Z","http://wayback.archive-it.org/all/20190510042428/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-10,"United Kingdom"
"1026","Yes","3/1","2019-05-10T04:24:28Z","https://web.archive.org/web/20190510042428/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,3,1,0.25,2019-05-10,"United Kingdom"
"1027","No","1/3","2019-05-10T04:24:28Z","https://web.archive.org/web/20190510042428/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-10,"United Kingdom"
"1028","Yes","11/4","2019-05-11T05:58:18Z","http://wayback.archive-it.org/all/20190511055818/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-11,"United Kingdom"
"1029","No","1/3","2019-05-11T05:58:18Z","http://wayback.archive-it.org/all/20190511055818/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-11,"United Kingdom"
"1030","Yes","11/4","2019-05-11T05:58:18Z","https://web.archive.org/web/20190511055818/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-11,"United Kingdom"
"1031","No","1/3","2019-05-11T05:58:18Z","https://web.archive.org/web/20190511055818/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-11,"United Kingdom"
"1032","Yes","11/4","2019-05-11T18:49:00Z","http://wayback.archive-it.org/all/20190511184900/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-11,"United Kingdom"
"1033","No","1/3","2019-05-11T18:49:00Z","http://wayback.archive-it.org/all/20190511184900/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-11,"United Kingdom"
"1034","Yes","11/4","2019-05-11T18:49:00Z","https://web.archive.org/web/20190511184900/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-11,"United Kingdom"
"1035","No","1/3","2019-05-11T18:49:00Z","https://web.archive.org/web/20190511184900/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-11,"United Kingdom"
"1036","Yes","11/4","2019-05-12T19:05:46Z","http://wayback.archive-it.org/all/20190512190546/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-12,"United Kingdom"
"1037","No","1/3","2019-05-12T19:05:46Z","http://wayback.archive-it.org/all/20190512190546/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-12,"United Kingdom"
"1038","Yes","11/4","2019-05-12T19:05:46Z","https://web.archive.org/web/20190512190546/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-12,"United Kingdom"
"1039","No","1/3","2019-05-12T19:05:46Z","https://web.archive.org/web/20190512190546/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-12,"United Kingdom"
"1040","Yes","11/4","2019-05-14T03:25:05Z","http://wayback.archive-it.org/all/20190514032505/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-14,"United Kingdom"
"1041","No","1/3","2019-05-14T03:25:05Z","http://wayback.archive-it.org/all/20190514032505/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-14,"United Kingdom"
"1042","Yes","11/4","2019-05-14T03:25:05Z","https://web.archive.org/web/20190514032505/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-14,"United Kingdom"
"1043","No","1/3","2019-05-14T03:25:05Z","https://web.archive.org/web/20190514032505/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-14,"United Kingdom"
"1044","Yes","11/4","2019-05-15T04:25:38Z","http://wayback.archive-it.org/all/20190515042538/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-15,"United Kingdom"
"1045","No","1/3","2019-05-15T04:25:38Z","http://wayback.archive-it.org/all/20190515042538/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-15,"United Kingdom"
"1046","Yes","11/4","2019-05-15T04:25:38Z","https://web.archive.org/web/20190515042538/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-15,"United Kingdom"
"1047","No","1/3","2019-05-15T04:25:38Z","https://web.archive.org/web/20190515042538/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-15,"United Kingdom"
"1048","Yes","11/4","2019-05-15T19:44:05Z","http://wayback.archive-it.org/all/20190515194405/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-15,"United Kingdom"
"1049","No","1/3","2019-05-15T19:44:05Z","http://wayback.archive-it.org/all/20190515194405/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-15,"United Kingdom"
"1050","Yes","11/4","2019-05-15T19:44:05Z","https://web.archive.org/web/20190515194405/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-15,"United Kingdom"
"1051","No","1/3","2019-05-15T19:44:05Z","https://web.archive.org/web/20190515194405/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,3,0.75,2019-05-15,"United Kingdom"
"1052","Yes","11/4","2019-05-17T06:56:51Z","http://wayback.archive-it.org/all/20190517065651/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-17,"United Kingdom"
"1053","No","2/7","2019-05-17T06:56:51Z","http://wayback.archive-it.org/all/20190517065651/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-17,"United Kingdom"
"1054","Yes","11/4","2019-05-17T06:56:51Z","https://web.archive.org/web/20190517065651/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-17,"United Kingdom"
"1055","No","2/7","2019-05-17T06:56:51Z","https://web.archive.org/web/20190517065651/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-17,"United Kingdom"
"1056","Yes","11/4","2019-05-17T18:50:20Z","http://wayback.archive-it.org/all/20190517185020/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-17,"United Kingdom"
"1057","No","2/7","2019-05-17T18:50:20Z","http://wayback.archive-it.org/all/20190517185020/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-17,"United Kingdom"
"1058","Yes","11/4","2019-05-17T18:50:20Z","https://web.archive.org/web/20190517185020/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-17,"United Kingdom"
"1059","No","2/7","2019-05-17T18:50:20Z","https://web.archive.org/web/20190517185020/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-17,"United Kingdom"
"1060","Yes","11/4","2019-05-18T18:46:50Z","http://wayback.archive-it.org/all/20190518184650/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-18,"United Kingdom"
"1061","No","2/7","2019-05-18T18:46:50Z","http://wayback.archive-it.org/all/20190518184650/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-18,"United Kingdom"
"1062","Yes","11/4","2019-05-18T18:46:50Z","https://web.archive.org/web/20190518184650/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-18,"United Kingdom"
"1063","No","2/7","2019-05-18T18:46:50Z","https://web.archive.org/web/20190518184650/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-18,"United Kingdom"
"1064","Yes","11/4","2019-05-20T01:46:58Z","http://wayback.archive-it.org/all/20190520014658/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-20,"United Kingdom"
"1065","No","2/7","2019-05-20T01:46:58Z","http://wayback.archive-it.org/all/20190520014658/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-20,"United Kingdom"
"1066","Yes","11/4","2019-05-20T01:46:58Z","https://web.archive.org/web/20190520014658/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-20,"United Kingdom"
"1067","No","2/7","2019-05-20T01:46:58Z","https://web.archive.org/web/20190520014658/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-20,"United Kingdom"
"1068","Yes","11/4","2019-05-21T02:21:33Z","http://wayback.archive-it.org/all/20190521022133/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-21,"United Kingdom"
"1069","No","2/7","2019-05-21T02:21:33Z","http://wayback.archive-it.org/all/20190521022133/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-21,"United Kingdom"
"1070","Yes","11/4","2019-05-21T02:21:33Z","https://web.archive.org/web/20190521022133/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,11,4,0.266666666666667,2019-05-21,"United Kingdom"
"1071","No","2/7","2019-05-21T02:21:33Z","https://web.archive.org/web/20190521022133/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-21,"United Kingdom"
"1072","Yes","28/11","2019-05-21T19:06:45Z","http://wayback.archive-it.org/all/20190521190645/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,28,11,0.282051282051282,2019-05-21,"United Kingdom"
"1073","No","2/5","2019-05-21T19:06:45Z","http://wayback.archive-it.org/all/20190521190645/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,5,0.714285714285714,2019-05-21,"United Kingdom"
"1074","Yes","28/11","2019-05-21T19:06:45Z","https://web.archive.org/web/20190521190645/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,28,11,0.282051282051282,2019-05-21,"United Kingdom"
"1075","No","2/5","2019-05-21T19:06:45Z","https://web.archive.org/web/20190521190645/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,5,0.714285714285714,2019-05-21,"United Kingdom"
"1076","Yes","3/1","2019-05-22T19:14:08Z","http://wayback.archive-it.org/all/20190522191408/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,3,1,0.25,2019-05-22,"United Kingdom"
"1077","No","3/10","2019-05-22T19:14:08Z","http://wayback.archive-it.org/all/20190522191408/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,3,10,0.769230769230769,2019-05-22,"United Kingdom"
"1078","Yes","3/1","2019-05-22T19:14:08Z","https://web.archive.org/web/20190522191408/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,3,1,0.25,2019-05-22,"United Kingdom"
"1079","No","3/10","2019-05-22T19:14:08Z","https://web.archive.org/web/20190522191408/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,3,10,0.769230769230769,2019-05-22,"United Kingdom"
"1080","Yes","3/1","2019-05-24T04:21:36Z","http://wayback.archive-it.org/all/20190524042136/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,3,1,0.25,2019-05-24,"United Kingdom"
"1081","No","2/7","2019-05-24T04:21:36Z","http://wayback.archive-it.org/all/20190524042136/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-24,"United Kingdom"
"1082","Yes","3/1","2019-05-24T04:21:36Z","https://web.archive.org/web/20190524042136/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,3,1,0.25,2019-05-24,"United Kingdom"
"1083","No","2/7","2019-05-24T04:21:36Z","https://web.archive.org/web/20190524042136/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-24,"United Kingdom"
"1084","Yes","7/2","2019-05-24T19:08:46Z","http://wayback.archive-it.org/all/20190524190846/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-24,"United Kingdom"
"1085","No","2/7","2019-05-24T19:08:46Z","http://wayback.archive-it.org/all/20190524190846/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-24,"United Kingdom"
"1086","Yes","7/2","2019-05-24T19:08:46Z","https://web.archive.org/web/20190524190846/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-24,"United Kingdom"
"1087","No","2/7","2019-05-24T19:08:46Z","https://web.archive.org/web/20190524190846/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,7,0.777777777777778,2019-05-24,"United Kingdom"
"1088","Yes","7/2","2019-05-26T02:27:12Z","http://wayback.archive-it.org/all/20190526022712/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-26,"United Kingdom"
"1089","No","2/9","2019-05-26T02:27:12Z","http://wayback.archive-it.org/all/20190526022712/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,9,0.818181818181818,2019-05-26,"United Kingdom"
"1090","Yes","7/2","2019-05-26T02:27:12Z","https://web.archive.org/web/20190526022712/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-26,"United Kingdom"
"1091","No","2/9","2019-05-26T02:27:12Z","https://web.archive.org/web/20190526022712/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,9,0.818181818181818,2019-05-26,"United Kingdom"
"1092","Yes","7/2","2019-05-27T01:57:02Z","http://wayback.archive-it.org/all/20190527015702/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-27,"United Kingdom"
"1093","No","2/9","2019-05-27T01:57:02Z","http://wayback.archive-it.org/all/20190527015702/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,9,0.818181818181818,2019-05-27,"United Kingdom"
"1094","Yes","7/2","2019-05-27T01:57:02Z","https://web.archive.org/web/20190527015702/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-27,"United Kingdom"
"1095","No","2/9","2019-05-27T01:57:02Z","https://web.archive.org/web/20190527015702/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,2,9,0.818181818181818,2019-05-27,"United Kingdom"
"1096","Yes","7/2","2019-05-27T18:46:07Z","http://wayback.archive-it.org/all/20190527184607/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-27,"United Kingdom"
"1097","No","1/5","2019-05-27T18:46:07Z","http://wayback.archive-it.org/all/20190527184607/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,5,0.833333333333333,2019-05-27,"United Kingdom"
"1098","Yes","7/2","2019-05-27T18:46:07Z","https://web.archive.org/web/20190527184607/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-27,"United Kingdom"
"1099","No","1/5","2019-05-27T18:46:07Z","https://web.archive.org/web/20190527184607/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,5,0.833333333333333,2019-05-27,"United Kingdom"
"1100","Yes","7/2","2019-05-28T18:47:49Z","http://wayback.archive-it.org/all/20190528184749/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-28,"United Kingdom"
"1101","No","3/10","2019-05-28T18:47:49Z","http://wayback.archive-it.org/all/20190528184749/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,3,10,0.769230769230769,2019-05-28,"United Kingdom"
"1102","Yes","7/2","2019-05-28T18:47:49Z","https://web.archive.org/web/20190528184749/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-28,"United Kingdom"
"1103","No","3/10","2019-05-28T18:47:49Z","https://web.archive.org/web/20190528184749/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,3,10,0.769230769230769,2019-05-28,"United Kingdom"
"1104","Yes","7/2","2019-05-29T19:11:02Z","http://wayback.archive-it.org/all/20190529191102/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-29,"United Kingdom"
"1105","No","1/4","2019-05-29T19:11:02Z","http://wayback.archive-it.org/all/20190529191102/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,4,0.8,2019-05-29,"United Kingdom"
"1106","Yes","7/2","2019-05-29T19:11:02Z","https://web.archive.org/web/20190529191102/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-29,"United Kingdom"
"1107","No","1/4","2019-05-29T19:11:02Z","https://web.archive.org/web/20190529191102/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,4,0.8,2019-05-29,"United Kingdom"
"1108","Yes","7/2","2019-05-31T16:04:01Z","http://wayback.archive-it.org/all/20190531160401/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-31,"United Kingdom"
"1109","No","1/5","2019-05-31T16:04:01Z","http://wayback.archive-it.org/all/20190531160401/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,5,0.833333333333333,2019-05-31,"United Kingdom"
"1110","Yes","7/2","2019-05-31T16:04:01Z","https://web.archive.org/web/20190531160401/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-31,"United Kingdom"
"1111","No","1/5","2019-05-31T16:04:01Z","https://web.archive.org/web/20190531160401/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,5,0.833333333333333,2019-05-31,"United Kingdom"
"1112","Yes","7/2","2019-05-31T19:14:52Z","http://wayback.archive-it.org/all/20190531191452/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-31,"United Kingdom"
"1113","No","1/5","2019-05-31T19:14:52Z","http://wayback.archive-it.org/all/20190531191452/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,5,0.833333333333333,2019-05-31,"United Kingdom"
"1114","Yes","7/2","2019-05-31T19:14:52Z","https://web.archive.org/web/20190531191452/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-05-31,"United Kingdom"
"1115","No","1/5","2019-05-31T19:14:52Z","https://web.archive.org/web/20190531191452/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,5,0.833333333333333,2019-05-31,"United Kingdom"
"1116","Yes","7/2","2019-06-01T18:48:50Z","http://wayback.archive-it.org/all/20190601184850/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-06-01,"United Kingdom"
"1117","No","1/4","2019-06-01T18:48:50Z","http://wayback.archive-it.org/all/20190601184850/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,4,0.8,2019-06-01,"United Kingdom"
"1118","Yes","7/2","2019-06-01T18:48:50Z","https://web.archive.org/web/20190601184850/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-06-01,"United Kingdom"
"1119","No","1/4","2019-06-01T18:48:50Z","https://web.archive.org/web/20190601184850/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,4,0.8,2019-06-01,"United Kingdom"
"1120","Yes","7/2","2019-06-02T19:10:30Z","http://wayback.archive-it.org/all/20190602191030/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-06-02,"United Kingdom"
"1121","No","1/4","2019-06-02T19:10:30Z","http://wayback.archive-it.org/all/20190602191030/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,4,0.8,2019-06-02,"United Kingdom"
"1122","Yes","7/2","2019-06-02T19:10:30Z","https://web.archive.org/web/20190602191030/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,7,2,0.222222222222222,2019-06-02,"United Kingdom"
"1123","No","1/4","2019-06-02T19:10:30Z","https://web.archive.org/web/20190602191030/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,4,0.8,2019-06-02,"United Kingdom"
"1124","Yes","4/1","2019-06-04T04:10:36Z","http://wayback.archive-it.org/all/20190604041036/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,4,1,0.2,2019-06-04,"United Kingdom"
"1125","No","1/4","2019-06-04T04:10:36Z","http://wayback.archive-it.org/all/20190604041036/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,1,4,0.8,2019-06-04,"United Kingdom"
"1126","Yes","4/1","2019-06-04T04:10:36Z","https://web.archive.org/web/20190604041036/https://www.oddschecker.com/politics/brexit/2nd-eu-referendum","2nd-eu-referendum, brexit",NA,4,1,0.2,2019-06-04,"United Kingdom"
